Date : 2026-07-31 23:40:30
Directory : c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build
Total : 430 files,  27662 codes, 2051 comments, 3519 blanks, all 33232 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\ChartBufferRegistryContext.tsx                                     | TypeScript JSX     |          4 |          0 |          0 |          4 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\GlobalContext.tsx                                                  | TypeScript JSX     |         61 |          2 |         12 |         75 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\HealthProfileContext.tsx                                           | TypeScript JSX     |         47 |          4 |         10 |         61 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\context\ThemeContext.tsx                                                   | TypeScript JSX     |         58 |          0 |         14 |         72 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\data\mockDashboardData.ts                                                  | TypeScript         |        167 |          0 |         12 |        179 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\engine\ChartBuffer.ts                                                      | TypeScript         |         17 |          0 |          2 |         19 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\engine\DataWindow.ts                                                       | TypeScript         |         12 |          0 |          3 |         15 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\engine\LiveChartEngine.ts                                                  | TypeScript         |         30 |          0 |          1 |         31 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useAuth.ts                                                           | TypeScript         |         36 |          0 |          7 |         43 |
| c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\hooks\useClickOutside.ts                                                   | TypeScript         |         24 |          0 |          6 |         30 |
