"filename", "language", "TypeScript", "TypeScript JSX", "Python", "comment", "blank", "total"
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\reportGenerator.ts", "TypeScript", 71, 0, 0, 10, 16, 97
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\risk\riskEngine.ts", "TypeScript", 79, 0, 0, 8, 15, 102
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\secureSharingController.ts", "TypeScript", 36, 0, 0, 4, 9, 49
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\semanticRetriever.ts", "TypeScript", 30, 0, 0, 10, 7, 47
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\sqi\sqiEngine.ts", "TypeScript", -58, 0, 0, -11, -10, -79
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\structuredContextRetriever.ts", "TypeScript", 35, 0, 0, 9, 8, 52
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\trendEngine.ts", "TypeScript", 103, 0, 0, 16, 22, 141
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\trend\trendEngine.ts", "TypeScript", 98, 0, 0, 10, 20, 128
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\services\weeklyRecordManager.ts", "TypeScript", 67, 0, 0, 18, 16, 101
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\baselineCollector.test.ts", "TypeScript", 45, 0, 0, 0, 9, 54
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\dispatchEngine.test.ts", "TypeScript", 51, 0, 0, 3, 13, 67
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\escalationPipeline.test.ts", "TypeScript", 46, 0, 0, 3, 12, 61
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\failSafeRouter.test.ts", "TypeScript", 48, 0, 0, 3, 13, 64
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\healthProfile.test.ts", "TypeScript", 30, 0, 0, 1, 6, 37
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\normalRangeEngine.test.ts", "TypeScript", 10, 0, 0, -3, -2, 5
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\predictiveEngine.test.ts", "TypeScript", 62, 0, 0, 3, 12, 77
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\predictivePipeline.test.ts", "TypeScript", 53, 0, 0, 5, 13, 71
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\riskEngine.test.ts", "TypeScript", 73, 0, 0, 3, 11, 87
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\run_all_pr10_tests.ts", "TypeScript", 103, 0, 0, 10, 18, 131
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\run_all_pr9_tests.ts", "TypeScript", 41, 0, 0, 4, 9, 54
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\sqi.test.ts", "TypeScript", 53, 0, 0, 0, 10, 63
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_build_5_6.ts", "TypeScript", 14, 0, 0, 5, 6, 25
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_build_5_7.ts", "TypeScript", 36, 0, 0, 5, 8, 49
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_build_5_8_acceptance.ts", "TypeScript", 68, 0, 0, 5, 11, 84
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_1.ts", "TypeScript", 62, 0, 0, 5, 11, 78
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_2.ts", "TypeScript", 80, 0, 0, 9, 15, 104
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_3.ts", "TypeScript", 79, 0, 0, 4, 16, 99
"c:\Users\HP\Downloads\NO-EXCUSE\Dashboard\Current Build\src\tests\test_pr6_4.ts", "TypeScript", 64, 0, 0, 4, 13, 81
